رقم السورة,اسم السورة,عدد الآيات,ترتيب النزول,نوع السورة
1,الفاتحة,7,5,مكية
2,البقرة,286,87,مدنية
3,آل عمران,200,89,مدنية
4,النساء,176,92,مدنية
5,المائدة,120,112,مدنية
6,الأنعام,165,55,مكية
7,الأعراف,206,39,مكية
8,الأنفال,75,88,مدنية
9,التوبة,129,113,مدنية
10,يونس,109,51,مكية
11,هود,123,52,مكية
12,يوسف,111,53,مكية
13,الرعد,43,96,مدنية
14,ابراهيم,52,72,مكية
15,الحجر,99,54,مكية
16,النحل,128,70,مكية
17,الإسراء,111,50,مكية
18,الكهف,110,69,مكية
19,مريم,98,44,مكية
20,طه,135,45,مكية
21,الأنبياء,112,73,مكية
22,الحج,78,103,مدنية
23,المؤمنون,118,74,مكية
24,النور,64,102,مدنية
25,الفرقان,77,42,مكية
26,الشعراء,227,47,مكية
27,النمل,93,48,مكية
28,القصص,88,49,مكية
29,العنكبوت,69,85,مكية
30,الروم,60,84,مكية
31,لقمان,34,57,مكية
32,السجدة,30,75,مكية
33,الأحزاب,73,90,مدنية
34,سبإ,54,58,مكية
35,فاطر,45,43,مكية
36,يس,83,41,مكية
37,الصافات,182,56,مكية
38,ص,88,38,مكية
39,الزمر,75,59,مكية
40,غافر,85,60,مكية
41,فصلت,54,61,مكية
42,الشورى,53,62,مكية
43,الزخرف,89,63,مكية
44,الدخان,59,64,مكية
45,الجاثية,37,65,مكية
46,الأحقاف,35,66,مكية
47,محمد,38,95,مدنية
48,الفتح,29,111,مدنية
49,الحجرات,18,106,مدنية
50,ق,45,34,مكية
51,الذاريات,60,67,مكية
52,الطور,49,76,مكية
53,النجم,62,23,مكية
54,القمر,55,37,مكية
55,الرحمن,78,97,مدنية
56,الواقعة,96,46,مكية
57,الحديد,29,94,مدنية
58,المجادلة,22,105,مدنية
59,الحشر,24,101,مدنية
60,الممتحنة,13,91,مدنية
61,الصف,14,109,مدنية
62,الجمعة,11,110,مدنية
63,المنافقون,11,104,مدنية
64,التغابن,18,108,مدنية
65,الطلاق,12,99,مدنية
66,التحريم,12,107,مدنية
67,الملك,30,77,مكية
68,القلم,52,2,مكية
69,الحاقة,52,78,مكية
70,المعارج,44,79,مكية
71,نوح,28,71,مكية
72,الجن,28,40,مكية
73,المزمل,20,3,مكية
74,المدثر,56,4,مكية
75,القيامة,40,31,مكية
76,الانسان,31,98,مدنية
77,المرسلات,50,33,مكية
78,النبإ,40,80,مكية
79,النازعات,46,81,مكية
80,عبس,42,24,مكية
81,التكوير,29,7,مكية
82,الإنفطار,19,82,مكية
83,المطففين,36,86,مكية
84,الإنشقاق,25,83,مكية
85,البروج,22,27,مكية
86,الطارق,17,36,مكية
87,الأعلى,19,8,مكية
88,الغاشية,26,68,مكية
89,الفجر,30,10,مكية
90,البلد,20,35,مكية
91,الشمس,15,26,مكية
92,الليل,21,9,مكية
93,الضحى,11,11,مكية
94,الشرح,8,12,مكية
95,التين,8,28,مكية
96,العلق,19,1,مكية
97,القدر,5,25,مكية
98,البينة,8,100,مدنية
99,الزلزلة,8,93,مدنية
100,العاديات,11,14,مكية
101,القارعة,11,30,مكية
102,التكاثر,8,16,مكية
103,العصر,3,13,مكية
104,الهمزة,9,32,مكية
105,الفيل,5,19,مكية
106,قريش,4,29,مكية
107,الماعون,7,17,مكية
108,الكوثر,3,15,مكية
109,الكافرون,6,18,مكية
110,النصر,3,114,مدنية
111,اللهب,5,6,مكية
112,الإخلاص,4,22,مكية
113,الفلق,5,20,مكية
114,الناس,6,21,مكية
