id,jozz,sura_no,page,aya_no
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
6,1,1,1,6
7,1,1,1,7
8,1,2,2,1
9,1,2,2,2
10,1,2,2,3
11,1,2,2,4
12,1,2,2,5
13,1,2,3,6
14,1,2,3,7
15,1,2,3,8
16,1,2,3,9
17,1,2,3,10
18,1,2,3,11
19,1,2,3,12
20,1,2,3,13
21,1,2,3,14
22,1,2,3,15
23,1,2,3,16
24,1,2,4,17
25,1,2,4,18
26,1,2,4,19
27,1,2,4,20
28,1,2,4,21
29,1,2,4,22
30,1,2,4,23
31,1,2,4,24
32,1,2,5,25
33,1,2,5,26
34,1,2,5,27
35,1,2,5,28
36,1,2,5,29
37,1,2,6,30
38,1,2,6,31
39,1,2,6,32
40,1,2,6,33
41,1,2,6,34
42,1,2,6,35
43,1,2,6,36
44,1,2,6,37
45,1,2,7,38
46,1,2,7,39
47,1,2,7,40
48,1,2,7,41
49,1,2,7,42
50,1,2,7,43
51,1,2,7,44
52,1,2,7,45
53,1,2,7,46
54,1,2,7,47
55,1,2,7,48
56,1,2,8,49
57,1,2,8,50
58,1,2,8,51
59,1,2,8,52
60,1,2,8,53
61,1,2,8,54
62,1,2,8,55
63,1,2,8,56
64,1,2,8,57
65,1,2,9,58
66,1,2,9,59
67,1,2,9,60
68,1,2,9,61
69,1,2,10,62
70,1,2,10,63
71,1,2,10,64
72,1,2,10,65
73,1,2,10,66
74,1,2,10,67
75,1,2,10,68
76,1,2,10,69
77,1,2,11,70
78,1,2,11,71
79,1,2,11,72
80,1,2,11,73
81,1,2,11,74
82,1,2,11,75
83,1,2,11,76
84,1,2,12,77
85,1,2,12,78
86,1,2,12,79
87,1,2,12,80
88,1,2,12,81
89,1,2,12,82
90,1,2,12,83
91,1,2,13,84
92,1,2,13,85
93,1,2,13,86
94,1,2,13,87
95,1,2,13,88
96,1,2,14,89
97,1,2,14,90
98,1,2,14,91
99,1,2,14,92
100,1,2,14,93
101,1,2,15,94
102,1,2,15,95
103,1,2,15,96
104,1,2,15,97
105,1,2,15,98
106,1,2,15,99
107,1,2,15,100
108,1,2,15,101
109,1,2,16,102
110,1,2,16,103
111,1,2,16,104
112,1,2,16,105
113,1,2,17,106
114,1,2,17,107
115,1,2,17,108
116,1,2,17,109
117,1,2,17,110
118,1,2,17,111
119,1,2,17,112
120,1,2,18,113
121,1,2,18,114
122,1,2,18,115
123,1,2,18,116
124,1,2,18,117
125,1,2,18,118
126,1,2,18,119
127,1,2,19,120
128,1,2,19,121
129,1,2,19,122
130,1,2,19,123
131,1,2,19,124
132,1,2,19,125
133,1,2,19,126
134,1,2,20,127
135,1,2,20,128
136,1,2,20,129
137,1,2,20,130
138,1,2,20,131
139,1,2,20,132
140,1,2,20,133
141,1,2,20,134
142,1,2,21,135
143,1,2,21,136
144,1,2,21,137
145,1,2,21,138
146,1,2,21,139
147,1,2,21,140
148,1,2,21,141
149,2,2,22,142
150,2,2,22,143
151,2,2,22,144
152,2,2,22,145
153,2,2,23,146
154,2,2,23,147
155,2,2,23,148
156,2,2,23,149
157,2,2,23,150
158,2,2,23,151
159,2,2,23,152
160,2,2,23,153
161,2,2,24,154
162,2,2,24,155
163,2,2,24,156
164,2,2,24,157
165,2,2,24,158
166,2,2,24,159
167,2,2,24,160
168,2,2,24,161
169,2,2,24,162
170,2,2,24,163
171,2,2,25,164
172,2,2,25,165
173,2,2,25,166
174,2,2,25,167
175,2,2,25,168
176,2,2,25,169
177,2,2,26,170
178,2,2,26,171
179,2,2,26,172
180,2,2,26,173
181,2,2,26,174
182,2,2,26,175
183,2,2,26,176
184,2,2,27,177
185,2,2,27,178
186,2,2,27,179
187,2,2,27,180
188,2,2,27,181
189,2,2,28,182
190,2,2,28,183
191,2,2,28,184
192,2,2,28,185
193,2,2,28,186
194,2,2,29,187
195,2,2,29,188
196,2,2,29,189
197,2,2,29,190
198,2,2,30,191
199,2,2,30,192
200,2,2,30,193
201,2,2,30,194
202,2,2,30,195
203,2,2,30,196
204,2,2,31,197
205,2,2,31,198
206,2,2,31,199
207,2,2,31,200
208,2,2,31,201
209,2,2,31,202
210,2,2,32,203
211,2,2,32,204
212,2,2,32,205
213,2,2,32,206
214,2,2,32,207
215,2,2,32,208
216,2,2,32,209
217,2,2,32,210
218,2,2,33,211
219,2,2,33,212
220,2,2,33,213
221,2,2,33,214
222,2,2,33,215
223,2,2,34,216
224,2,2,34,217
225,2,2,34,218
226,2,2,34,219
227,2,2,35,220
228,2,2,35,221
229,2,2,35,222
230,2,2,35,223
231,2,2,35,224
232,2,2,36,225
233,2,2,36,226
234,2,2,36,227
235,2,2,36,228
236,2,2,36,229
237,2,2,36,230
238,2,2,37,231
239,2,2,37,232
240,2,2,37,233
241,2,2,38,234
242,2,2,38,235
243,2,2,38,236
244,2,2,38,237
245,2,2,39,238
246,2,2,39,239
247,2,2,39,240
248,2,2,39,241
249,2,2,39,242
250,2,2,39,243
251,2,2,39,244
252,2,2,39,245
253,2,2,40,246
254,2,2,40,247
255,2,2,40,248
256,2,2,41,249
257,2,2,41,250
258,2,2,41,251
259,2,2,41,252
260,3,2,42,253
261,3,2,42,254
262,3,2,42,255
263,3,2,42,256
264,3,2,43,257
265,3,2,43,258
266,3,2,43,259
267,3,2,44,260
268,3,2,44,261
269,3,2,44,262
270,3,2,44,263
271,3,2,44,264
272,3,2,45,265
273,3,2,45,266
274,3,2,45,267
275,3,2,45,268
276,3,2,45,269
277,3,2,46,270
278,3,2,46,271
279,3,2,46,272
280,3,2,46,273
281,3,2,46,274
282,3,2,47,275
283,3,2,47,276
284,3,2,47,277
285,3,2,47,278
286,3,2,47,279
287,3,2,47,280
288,3,2,47,281
289,3,2,48,282
290,3,2,49,283
291,3,2,49,284
292,3,2,49,285
293,3,2,49,286
294,3,3,50,1
295,3,3,50,2
296,3,3,50,3
297,3,3,50,4
298,3,3,50,5
299,3,3,50,6
300,3,3,50,7
301,3,3,50,8
302,3,3,50,9
303,3,3,51,10
304,3,3,51,11
305,3,3,51,12
306,3,3,51,13
307,3,3,51,14
